text	label
So I found out there is one end of April for the MS Society	0
This a Amazinng Book , Let 's Access EPUB ! ! ! Title : Cured 81 Natural Cures For Cancer , Diabetes , Alzheimer 's and mor ... HTTPURL	0
#Qatar refused to prepare a hospital for the thousands #CoronaVirus infected migrant workers on its soil, instead, it has locked them inside animal shelters without any medical care! Migrants workers are not slaves, they have rights! Shame on #HumanRights orgs for being silent!	1
As we acquire around 600,000 Sinovac vaccines and 525,600 AstraZeneca vaccines, the national government’s inoculation plan is in full swing. Since March 1, a number of Filipino healthcare workers have received vaccines to protect them from COVID-19. https://t.co/GPmXN7rCVF https://t.co/ey167ArNhe	1
The EU is exporting COVID-19 vaccines, sometimes. But we need international cooperation, and we need it fast, to avoid vaccine protectionism. We will not be safe until a large fraction of the population of every country in the world is vaccinated. https://t.co/hetueOR0Ji	0
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Are cancer and respiratory difficulties likely ?	0
RT @USER : :clapping_hands: New treatment for liver cancer , which isolates the organ & protects healthy parts of the body , has been found to be effe ...	1
The world won't recover from COVID-19 if some populations are excluded from access to vaccines and other much needed aid. Tell Congress: Israel must provide Palestinians living under occupation with medical needs and vaccines. https://t.co/n1YC05Sq2V	1
#COVID19 vaccines are available to people of all immigration statuses. Your immigration status does not matter to us and you will not be asked about it at the vaccination site. Learn more: https://t.co/kMzdj6bxMW https://t.co/2rq8wyTe0V	1
(2/2) The development and swift global deployment of safe and effective vaccines against COVID-19, remains essential to containing the global pandemic. As more vaccines become available, we encourage Jamaicans to make arrangements to be inoculated.	1
@USER I ” m waiting to see if my cancer is back after 3 years . It certainly appears that it is . Cancer is a bitch - physically AND emotionally . Stay strong and we 'll get through it .	1
Idk what I 'm gonna do with myself and that thought of this haunts me	0
Now they want to clean	0
Stomach Cancer , Causes , Signs and Symptoms , Diagnosis and Treatment . HTTPURL	1
RT @USER : Hey MMA Twitter :speaker_low_volume: I will be donating all proceeds for April & May sales in my shop to help @USER ' s friend in nee ...	0
@USER what a better way to celebrate your huge news than by helping my sweet girl ! ! <3 #Gofundme #shesworthit #cantlivewithouther #shesmyworld	0
@DukeMargolis and @NatlGovsAssoc have released a new issue brief on #COVIDVaccinations and emerging variants. All vaccines are effective reducing consequences of infection from all variants. We may need booster shots. Vaccination critical. https://t.co/eI53LKrDnD	0
Ian Brown is both the coolest and nicest man I've been lucky enough to work with. It saddens me to see his views on Covid-19 &amp; vaccines. It's crazy how divided people have got over something that really should be fact-based. He's a lovely man and hope he can reassess his views.	0
1 month to go :upside-down_face: :upside-down_face: il be running the marathon for angel wishes who are a charity who look after Darcie and lots of other children affected by Cancer , If anyone has seen me struggling down the road recently that 's what Iv been out training for :grinning_face_with_sweat: More info below :backhand_index_pointing_down:	0
@USER I can imagine ! you 're pretty badass ! cancer should be scared of you ! :red_heart:	0
'A lot of uncertainty': imams fighting #COVID19 and vaccine misinformation in Australia's Muslim community. A fatwa pronounces both the Pfizer and AstraZeneca vaccines as halal for Muslims. @ImamsCouncil https://t.co/d0cLxEnC15	0
It really is pure serotonin	0
Did you guess right from our stories ? Do n't forget to sign up with us for our newsletter through this link ... HTTPURL	0
This week on a one hour special of #InFocusNY1, @CherylWillsNY1 speaks with those who've lost loved ones, and to community leaders about the emotional, economic and social toll of COVID-19, and @syramadad on how leadership and vaccines should give us hope for the future. https://t.co/CtMMjOzd58	1
RT @USER : So my guys father has been sick for a couple weeks . Just can't shake what he has . He currently has cancer but it 's been m ...	0
| | depression mixed with paranoia and anxiety I 'm tired . I wanna go home . I 'm getting overwhelmed so easily .	0
With the three authorized vaccines, the United States may have enough doses by the end of the summer to vaccinate everyone. https://t.co/BZRd36yVdE	1
Dozens of deaths have been reported to the federal government among people who received COVID-19 vaccines in Ohio, but authorities said there is no evidence vaccination contributed to the deaths. https://t.co/ApyyzhoJbk via @mattwrighttv	1
