text	label
Mr. Speaker, Lieutenant Governor Baxley, Senator Barron, Representative Newton, members of the Legislature, distinguished guests.	1
I am honored to be in this chamber tonight -- addressing my fellow citizens who are using their lives, their energies and their talents to serve the people of this great state.	0
However, before I address the state of our state, I want to take a moment and recognize some true Alabama heroes.	1
As you may know, our state is in the process of deploying almost 5,000 National Guard troops to various points around the world as our country continues its war on terrorism.	1
These Alabama troops are husbands and wives, sons and daughters, neighbors and friends -- all willing to do their duty and defend the freedoms that we, as Americans, hold so dear.	0
We keep each of these troops in our hearts and in our prayers, and we are so grateful for the sacrifices being made by the families they are leaving behind.	0
Tonight members of my cabinet are wearing yellow ribbons in their honor and Adjutant General Mark Bowen is in attendance with members of his staff.	1
I ask each of you to join me now in paying tribute to the bravery, courage and commitment of the men and women of the Alabama National Guard.	1
As we begin this important legislative session, I remain steadfast in my belief that the people of Alabama are strong in spirit, filled with hope and ready to conquer the obstacles that have held us back for decades.	1
I sense among the members of this Legislature, whether they are Democrat or Republican, that same spirit, hope and desire for change is in each of us.	0
To those of you in this chamber who have pledged to reach across party lines and work together for the good of our state I thank you, and the people of Alabama thank you.	0
Tonight I am charged with speaking to you on the state of our state.	1
Although our state is full of promise, our government faces a fiscal crisis of historic proportions.	1
The best estimates of the Finance Department show that the deficit in the 2004 budget will be at least $500 million.	1
And this is without making any improvements to our schools, correction facilities, or any other state programs that are in dire need of more funding.	1
My fellow Alabamians for the past few years, state government has lived beyond its means.	0
Here is what we have inherited: An Education Trust Fund budget with a deficit of $175 million for this year.	1
In the General Fund one-time revenues of $222 million in the 2003 budget that was used to shore up on-going programs, but which will never be available again Runaway growth in employee benefits which will consume $150 million of the Education Trust Fund budget in 2004.	1
A Medicaid budget which will require a minimum of $70 million to meet mandated benefit growth in 2004.	1
A tremendously under-funded Corrections budget which will need a minimum of $125 million additional dollars in 2004.	1
A doubling of our bonded indebtedness in the last four years.	1
Our government has lived like a family paying the power bill on their credit card every month, just postponing the inevitable.	1
Well, ladies and gentlemen, the inevitable is here.	0
The Alabama Constitution requires that we have a balanced budget; this will require cutting the General Fund Budget by approximately 20 percent, and education expenditures by approximately 6 percent.	1
If we continue the policies of the past, these budget shortfalls will dictate a number of drastic cuts in the upcoming fiscal year.	1
Let me try to put a human face on these numbers: 3,200 teachers and support personnel will be laid off.	1
That is in addition to the 2,000 who will already lose their jobs this spring.	1
Many extra-curricular activities, including high school athletics, will be discontinued.	1
Forty-six troopers will be let go despite the fact that our trooper force is already 25 percent understaffed.	1
Trooper assistance to stranded motorists will be eliminated and nine highway patrol posts will be closed.	1
734 employees in our judicial system will be laid off and jury trials suspended indefinitely.	1
Thousands of child support cases will be affected, resulting in the loss of millions of dollars in child support payments.	1
Seven of the 14 inpatient mental health facilities will be closed, while the program that provides medication to the indigent will have to be eliminated.	1
Our lack of matching funds will reduce our Mental Health budget by $38.6 million.	1
450,000 of our citizens will lose access to healthcare because of the lack of funding for our Medicaid programs and 800,000 meals for the elderly will be eliminated.	1
Thousands of our citizens will lose their eligibility for nursing home care, and 60 Senior Service Centers will be closed.	1
If we fail to change the way state government operates, these are the harsh realities our citizens will face.	0
This is the state of our state.	0
The people of Alabama did not create these problems, but they will be the ones who must suffer the consequences.	0
As Governor, I cannot and I will not let that happen!	0
To avoid these Draconian cuts, we are going to change government in Alabama and we are going to change it so fundamentally that we will never face such a crisis again.	1
We are going to demand that years of waste and inefficiencies come to an end, and establish a government that is accountable to the people it serves.	1
We will restore the people''s trust in their state government.	0
This is the mission of my administration.	0
Our first objective is to cut out waste and create efficiencies in government.	1
Let me tell you how we are going to do that.	0
In an effort to lead by example, the Governor''s office is now working with 30 percent less personnel than the previous administration.	1
I have also instructed the head of every state agency to, wherever possible, reduce their personnel costs by 5 percent over the next year.	1
This should save us $75 million annually.	1
We are also in the process of drastically reducing the number of state cars and are looking at going to smaller and less expensive state vehicles.	1
We will cut the aviation staff by 60 percent.	1
We are also halting all out of state travel for any state employee, unless it is of vital interest to the well being of the state.	1
A few weeks ago, I issued an executive order banning all pass through pork from our budget.	1
Ending this process of spending dollars in secret will save tens of millions of dollars and also help restore the public''s faith in the budget process.	1
I have directed Joe McInnes and the Department of Transportation to make their number one priority the resolution of the Reynolds lawsuit that has cost the state of Alabama over $250 million dollars.	1
For that amount of money we could have paved all interstates in Alabama and I-20 twice.	1
And not one dime of this money has gone to the plaintiffs, but rather to the lawyers.	1
This suit continues to cost taxpayers almost half a million dollars a month in legal fees alone.	1
This case must end and it must end now.	0
Every member of my cabinet is looking for ways to save additional taxpayer dollars, through cutting costs and duplication.	1
For example, in the Mental Health Department, Commissioner Sawyer is looking into the consolidation and closure of several mental health facilities.	1
This move alone will net $10 million dollars in state funds and $18 million in federal funds.	1
I''ve instructed my Revenue Commissioner, Dwight Carlisle, to add additional auditors to uncover any unpaid taxes from corporations who are not paying the taxes they owe.	1
It''s time we clamp down on them.	0
If there are loopholes, it is time we close them once and for all.	0
We are also working on plans to control the growth of medical costs for state employees and Medicaid.	1
Other states and businesses have recognized that the growth in these costs will overwhelm a state government and have crafted solutions. We must now do the same.	1
These cuts in government spending are the first immediate steps in reforming state government and making it accountable to the people it serves.	1
However, in order to find long--term solutions, we must make fundamental reforms in our government structure -- changes that will allow us financial flexibility, ensure efficiency and accountability and establish a firm foundation upon which this state can thrive.	0
The first reform that must take place is constitutional reform.	0
Soon after taking office, I established the Alabama Citizens'' Constitution Commission.	1
They have been working for over a month now to devise a plan for long-needed reform in several key provisions of the constitution.	1
I believe the most important change they are considering is the reduction of excessive earmarking in our state budget.	1
Today in Alabama, we predetermine where approximately ninety percent of our revenues go---by far the highest in the United States.	1
When compared to earmarking in other states, Alabama is simply out of sync with the rest of the country.	1
The majority of states earmark about 20 percent of their budgets, and only three other states are over 50 percent.	1
This outlandish amount of earmarking handcuffs our state government and continues to prevent us from being competitive.	0
We must have the ability to move money from one department to another, depending upon where need is the greatest.	0
If not, our only ability to solve a crisis, would be to raise taxes. And, that makes no sense.	0
You could not manage a business under those restrictions or even your household budget.	0
Why then do we believe we can manage a multi-billion dollar state budget with such archaic restrictions?	1
Members of the Legislature, it will take courage on your part to resist the pressure from special interests to keep these earmarks in place, but for the good of Alabama, I challenge you to make this change and make it now.	0
And it is time we re-define the mission of our education system.	0
A majority of taxpayer dollars goes toward the education of our children, yet we remain at the bottom of too many national rankings.	1
I see our mission this way: To provide every child in Alabama with a world-class education that is second to none offered by any state.	0
From this point on we must look at every dollar dedicated to education and determine if it will accomplish this goal.	0
We must ensure that tax dollars make it into the classroom and are not absorbed into a bloated bureaucracy.	0
We must ask the tough questions of what is wrong with our system.	0
If it is simply an issue of more money, then we will find the necessary funding.	1
But, before we increase spending, we are going to cut out waste, eliminate duplication and guarantee our dollars are going into the classroom.	1
To that end, we have established the Education Spending Commission to provide the people of Alabama with a clear picture of how all education dollars are being spent.	1
We must also return more control of education to the local school systems and the teachers and principals.	0
School systems that have proven to be good managers of their resources should be given greater flexibility.	1
At the same time, school systems that have wasted the public's money will be strictly controlled and dealt with severely.	1
These changes will result in substantial cost-savings and increased accountability in our education system.	1
Tonight, I have delivered the difficult but honest report that is the state of our state.	1
In speeches past, political rhetoric has clouded and often hidden the truth of our reality.	0
But, you did not elect me to mislead or misinform you.	0
You elected me to be honest and direct with you and to offer solutions to the very real problems we have faced for too long.	0
There are many today that say we must immediately raise taxes in light of the situation we have inherited.	1
That may be forced upon us one day, because I have pledged that no essential state services will be discontinued to those who depend upon them.	1
But, I will not entertain the idea of additional taxes until we reform the policies and practices that have created the problems we face today.	1
